ReviewID,Restaurant,Review,Total,Menu,Date,HasPicture,PlaceID,Author,VisitCount,ImageURLs,ImagePaths,ImageCount,VotedKeywords,VisitCategories,Tags,OwnerReply
69807e6ce608eb8bdd01daab,쉘터버거 목동,"아주 맛있는 버거네요.
시간상 포장해서 왔는데도 맛있었어요.
다음에는 홀에서 먹어봐야겠네요.",,(B)치포틀치킨버거,2.2.월,1,1444469421,sin****,1,https://pup-review-phinf.pstatic.net/MjAyNjAyMDJfMjA2/MDAxNzcwMDI4NjUwOTI0.aVJMDu-WTfualZozgRolcNOdPL8_zE5xaeRpxkBgdz8g.MfdDxxhr9GQNRNXF3t5yBpnMh5ePEzQQrhr4BXTsKzMg.JPEG/20260123_132544.jpg.jpg | https://pup-review-phinf.pstatic.net/MjAyNjAyMDJfMTcw/MDAxNzcwMDI4NjUxMDk5.qydfdU8CS8AFeXhyV5i09fbsQZfhAzh7kUhNXmkw_mwg.fFy1hDzUe5Wc123H8q0J0pDJl-R9xsnkNiStr7g0a1kg.JPEG/20260123_131627.jpg.jpg?type=w1500_60_sharpen,images/1444469421_68_1.jpg | images/1444469421_68_0.jpg,2,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 포장이 깔끔해요","(예약 없이 이용), 대기 시간(바로 입장), (가족모임), (아이,기타)",,
6973423ac26a766c45a6ab73,쉘터버거 목동,넘무 마시쑴니다,,,1.23.금,1,1444469421,아메바씨,5,https://pup-review-phinf.pstatic.net/MjAyNjAxMjNfODYg/MDAxNzY5MTYxMjcyMDk5.EmMjXNSq7HEzWzcAifyhoCIvQj4DcLK2rsGIalC2ZrUg.05Zk-Kv5_5waChMnwAH2qHqAbhkHG1QcwjPZ2oK_uKcg.JPEG/1000108615.jpg.jpg | https://pup-review-phinf.pstatic.net/MjAyNjAxMjNfMjQw/MDAxNzY5MTYxMjcyMDQz.H1lG6Vz2-gOX1D7D7N5HX2BADlRZ9kpq7zAeQ-nSxmkg.7EbxZ9sv6LilVvmJ2S3GYbGDILGO406GkCY6D7Bm27wg.JPEG/1000108614.jpg.jpg?type=w1500_60_sharpen,images/1444469421_69_1.jpg | images/1444469421_69_0.jpg,2,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요",,,
6972c1a5c5a649c2617c1da2,쉘터버거 목동,베이컨 치즈 버거와 치즈 버거 오리지널 프라이즈 깔끔하면서 맛있어요.,,(B)베이컨치즈버거,1.23.금,1,1444469421,unique look,30,https://pup-review-phinf.pstatic.net/MjAyNjAxMjNfMjg0/MDAxNzY5MTI4MzU1NjY0._QUOJRprBHbBqedSz2en3wE049xgIEXNIVtPhq_6Wngg.TPvfUdiK0qXZR3QKlsACYkuOfl3iPK0Zb4bHy86xSRgg.JPEG/3592DB39-74B9-44DB-A585-2C1F2C4AB459.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMjNfMTIx/MDAxNzY5MTI4MzU1NDkw.JqQNNyVQ5aOtBH-2-b6bvlKoFJQN1PIx145pT346PdMg.18K6XQYv_Tff59-SKRNwO-ZsuGtfxGgrGuBYXUpY3XQg.JPEG/D018DCD2-B4D9-4721-AB3D-EC3275C6CF6C.jpeg?type=w1500_60_sharpen,images/1444469421_70_0.jpg | images/1444469421_70_1.jpg,2,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 매장이 청결해요","(예약 없이 이용), 대기 시간(바로 입장), (지인・동료)",,
696ddfa5917c93ebfb2a3881,쉘터버거 목동,"치즈버거 먹었어요 후추향과 고기맛이 확실한 버거에요
깨가 많은 번도 맛있어요",,(S)치즈버거,1.19.월,1,1444469421,보바8848,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTlfMjcy/MDAxNzY4ODA4MzU2MDAx.71zqTK294KSdlGVjm7RTJ6ZWqi9F2TFfDxjzXbgtiQcg.sGP-RX0jjGQOwGvxsfoyTLkzvuWTqA-wXmi5LxjoEnQg.JPEG/FF6315C1-FD3E-408A-AB16-D33C10601BDA.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMTlfODYg/MDAxNzY4ODA4MzU1Mzk2.NxM_UNZ-BuKMqA3TX8xwXvf0mJo7fS4D__UG_G4l6skg.twihOfGXYkNTTcQquFq9RL6hKMGhvSm7FOfTa3VDCJkg.JPEG/CBE463A8-819B-4C74-A722-D4CF5570866D.jpeg?type=w1500_60_sharpen,images/1444469421_71_0.jpg | images/1444469421_71_1.jpg,2,"음식이 맛있어요, 인테리어가 멋져요, 혼밥하기 좋아요","(예약 없이 이용), 대기 시간(바로 입장), (일상), (혼자)",,
696b38905ca4e39d5ab5c593,쉘터버거 목동,너무 맛있어요,,(S)치즈버거,1.17.토,1,1444469421,한신희15,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfMjQy/MDAxNzY4NjM0NTExMzMy.SHDVBvDQglDEJSTK4vM-1OkwbfjO_jU5-FG038Yu-JMg.HfIyUgR8PwVl6Kio-3Ak7kIaUj4fJTsAskm50N8068Mg.JPEG/2C8294E3-3732-4453-8247-50BA520C7328.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfMjkz/MDAxNzY4NjM0NTExMDM3.34KtW65oMZBRByDdzmLlbr9magVf0BVR6EYkX_vN_tog.Enmjz-nj7W5U1jiZTcULWVzPPclkPgSKG3OX62azt6Yg.JPEG/3FC5FDE2-9C28-4BA1-8142-F7BECBD2665E.jpeg?type=w1500_60_sharpen,images/1444469421_72_1.jpg | images/1444469421_72_0.jpg,2,"음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 단체모임 하기 좋아요","(예약 없이 이용), 대기 시간(바로 입장), (친목,나들이,여행), (부모님)",,
696b22160a195d33b5cd629e,쉘터버거 목동,"너무 맛있어요!!!!!
주차장이랑 붙어있고
아기의자도 있어서 편하고
너무 친절하세요!!!❤️",,(S)베이컨치즈버거,1.17.토,1,1444469421,H000000,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfMjQx/MDAxNzY4NjI4NzU2MzQy.bxQ2p8HFQGyBRbNt6yu1F7rhLrm6TA4zvPMv8qbXs2Ag.fiXxUGSB3jSd30HK6E1TKGosXhHwLMRbAxeh9oZyWyog.JPEG/DA683BDB-D272-4ED6-BE1C-0904F784B5FB.jpeg,images/1444469421_73_0.jpg,1,"음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 주차하기 편해요","(예약 없이 이용), 대기 시간(바로 입장), (친목), (친구)",,
696b0b2b79212e0469ec819b,쉘터버거 목동,정말 맛있어여!!!!!!,,(S)치즈버거,1.17.토,1,1444469421,88832,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfMTA4/MDAxNzY4NjIyODY5NjA0.Rn1ugteFpmU5znOX55WRZBwwfTdvzyQQOEqeNRaR5PEg.Fnm6PHmoyYjV__dwLg3GSi_1zMf1SL_jrtJnfJ-O-z4g.JPEG/image.jpg,images/1444469421_74_0.jpg,1,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 청결해요","(예약 없이 이용), 대기 시간(바로 입장), (친목), (친구)",,
696aff6eb3fbdf7b80576472,쉘터버거 목동,트러플버거 더블치즈버거 스윗포테이토 먹었는데 다 맛있었어요~~~ 반려동물 동반 주차 가능해서 너무 좋네요 ㅎㅎ,,(B)더블치즈버거,1.17.토,1,1444469421,쏘쏘5120,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfOCAg/MDAxNzY4NjE5ODgzOTc3.WzEaXub2yvAIsewwy2Ryu8Ks2pLM87XhzSkJPX4jrEMg.wEWUhosZAsFzZfwtBZpfEALpSSbIH0ezcP5NBUyq56og.JPEG/124E43B4-7CDD-43D2-B81A-5DDCC174A9B2.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfMTUy/MDAxNzY4NjE5ODgzODAz.kMO16K3BnVIS3_3gPXHboeTpmzUrJKj0xnmgvb-GQbsg.KGm9lFFcyFyLjoPzkJ5ZBlxXMlPvcEJKl-pKLLC0qXwg.JPEG/0B485110-5DC5-4C7E-867F-F8A41DFBF3F0.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfNjEg/MDAxNzY4NjE5ODg0MzIx.4eh2e03X55MOQftVItu4_8ux-QBH0Bt6QkAYa8qIZ7Eg.KX5bZNm71WCzBW_OnFnlLKhcSnGfDwBFDqTMkO4dmmAg.JPEG/6B96F832-026B-4C40-98CF-14262DC82ACF.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTdfNTgg/MDAxNzY4NjE5ODg0MTYw.QQXr6hbRJaRFl3wlbAwX1w0QDR66u27OjNW3Q6m_Owkg.aSzDnQrgH1hnneVR_sphxkwOie29V51CkZX8aW5Wk7Mg.JPEG/0FEF3995-C69E-4C03-9E33-547999488304.jpeg?type=w1500_60_sharpen,images/1444469421_75_1.jpg | images/1444469421_75_2.jpg | images/1444469421_75_3.jpg | images/1444469421_75_0.jpg,4,"음식이 맛있어요, 인테리어가 멋져요, 친절해요",,,
696870017c7f1d1f5a29e527,쉘터버거 목동,수제버거가 먹고싶어 찾아왔는데 재료도 신선하고 너무 맛있어요~! 또 먹으러 올게요!,,(B)하와이안버거,1.15.목,1,1444469421,ky0566,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTVfNjMg/MDAxNzY4NDUyMDk0ODAw.Z2MPmwGEn9NCHINETAtUYf96-ORP2C_R_Qnp-6mwP10g.gAa3ih3TGVv1SGv3xOGOKNbUGRht88t1nVLceNlAoNkg.JPEG/3E103786-A130-4EAD-81B4-12E7F5ECF6B0.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMTVfMTc0/MDAxNzY4NDUyMDk1MTQw.n03h7L8CHjM4hUEdW1w3KBWbV-rW-bniC66OWD4UvPUg.sNmxrkoJJsDxhDHsRNIQ6_rz2WEQBAangb2lAmIOpNAg.JPEG/9D48A183-2339-40F2-8F7C-953040AB80FF.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTVfNDMg/MDAxNzY4NDUyMDkzOTE2.5YMbQfWE-Yw2SKJd4GVK3I1jQb0Ann8mBKL9k5GApjwg.G6bUqCugV45ormVEOZwy-jNJfjUq9eIXYMFRp3tZdLsg.JPEG/5168EF2A-1615-4FE8-A27D-FE9DFDE71E29.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTVfMjEw/MDAxNzY4NDUyMDk1NTY4.q61YOrvrSlng2_9ecbXn6cPBuwoD5TRVl8CLzj2t-_cg.30EIAIQ4ekECtDlSJUzMv9lszh4_bcbowm4dlqH1gnMg.JPEG/41512CA6-3CB8-48A6-BAEA-4EEF243072B3.jpeg?type=w1500_60_sharpen,images/1444469421_76_1.jpg | images/1444469421_76_2.jpg | images/1444469421_76_3.jpg | images/1444469421_76_0.jpg,4,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요","(예약 없이 이용), 대기 시간(바로 입장), (친목), (친척・형제자매)",,
696610b7517fcf9d2b79ffc4,쉘터버거 목동,"유명한 쉘터버거에 왔습니다!!
너무너무 친절하시고 맛도 너무너무 좋아요!
아보카도 추천입니다!!",,(B)아보카도버거,1.13.화,1,1444469421,akf1,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTNfMjMw/MDAxNzY4Mjk2NjI5ODEx.uGCaEvYsSa89sxLznHmhIMoDYGjIou344uNHI9BM8nIg.KBXxlhEoxGLF_E7ntjkK8__2j1CcHGv__EkD_0QWPN4g.JPEG/E25B3D3C-4518-424B-8867-45FA15385AF7.jpeg,images/1444469421_77_0.jpg,1,"양이 많아요, 음식이 맛있어요, 인테리어가 멋져요, 아늑해요, 친절해요","(예약 없이 이용), 대기 시간(바로 입장), (친목), (친구)",,
69623acaf1509a95d4d39dfd,쉘터버거 목동,"시장에서 장보고 지나다니면서 설마 맛있을까? 했었는데.. 오우 맛있네요. 패티에 진심이더라구요. 육즙 팡팡. 토마토나 양배추 채소가 더 들어가면 느끼하지 않게 더 많이 먹을 수 있을 것 같아요. 감자 튀김은 좀 더 두꺼우면 맛날 것 같아요. 과자 느낌? 후추 빼주세요 ~ 옵션이 있음 좋겠어요. 
다른 메뉴도 정복할래요. 냠냠",,(S)베이컨치즈버거,1.10.토,1,1444469421,하랑엄마 남양,1,https://pup-review-phinf.pstatic.net/MjAyNjAxMTBfMTM4/MDAxNzY4MDQ1MjU0NDIz.b5HrtjAlP5ZCevSiW3zdEW8buPKX4sI31OXuCc9TV9Ig.GGdxbbubq-pkdTxmA2xRcJco2QXdCuuq0Rv2__yviyIg.JPEG/46EDD53C-D718-406F-A3F5-93566691E877.jpeg | https://pup-review-phinf.pstatic.net/MjAyNjAxMTBfODQg/MDAxNzY4MDQ1MjU2NTMy.pmSC2MYjLY6DE5zLX1wLNXqi1MaIZFWXaLOOPxJXS4kg.0L6wQPQGM4sxRwjnKrPYrq6Rm2AUueMPnBxVDqaTQd8g.JPEG/E48364CC-911A-4671-9999-EEA631EFD9E8.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTBfMTgy/MDAxNzY4MDQ1MjU2NjY2.nqoPQ3UIcnhfeue1aEf9VFzSYxdDlxlwj5b7M5u4oKUg.Z4bgjR5NqykyE0V_olbr002Io3fi1_foIwum68m6CHog.JPEG/43E36AB2-9AB2-48F7-B496-1098D35A625C.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTBfNDgg/MDAxNzY4MDQ1MjU0Njgx.XJyN9yWto4R9gSNGU-AHWBM7r5cXjIw4SvE2syc1Tiog.0KctHPp8aRmGaq7H-roZNGkvPGQGAj09KyvlUJi7RlYg.JPEG/B7B0BBD5-09A7-4550-951C-73E999ACB6BD.jpeg?type=w1500_60_sharpen | https://pup-review-phinf.pstatic.net/MjAyNjAxMTBfNzYg/MDAxNzY4MDQ1MjU2ODUx.ij-3t2wqYODf13vUvD0mKjISekot5JOhbdLoWKEi_l0g.f7RoKyS4xgjj8myyG0qtjrNriRSRysSOHpd2CIruZ4Eg.JPEG/8205C79E-5F30-4241-9CFB-56691D130659.jpeg?type=w1500_60_sharpen,images/1444469421_78_3.jpg | images/1444469421_78_1.jpg | images/1444469421_78_2.jpg | images/1444469421_78_4.jpg | images/1444469421_78_0.jpg,5,"음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요","(예약 없이 이용), 대기 시간(바로 입장), (일상), (혼자)",,
696071bd7d5c6ff845022da7,쉘터버거 목동,직원들 왜이렇게 불친절해요?? 직원 한두명도 아니고 전체가 그렇게 불친절할 수가 있나요? 장사 그런식으로 하실 거면 그냥 배달만 받으세요,,,1.9.금,0,1444469421,수정5849,1,,,0,디저트가 맛있어요,"(예약 없이 이용), 대기 시간(바로 입장), (일상), (혼자)",,"수정 5849님, 이용에 불편드려 죄송합니다 ㅜㅜ지금까지 장사하면서 친절하다는 이야기만 들어보고 불친절하다는 내용을 처음 들어봐서.. 혹시 어느 시간대에 무슨일이 있으셨는지 괜찮으시다면 인스타 디엠으로나 쉘터버거 네이버 메세지로 보내주실 수 있으실까요?? ㅜㅜ 내용 확인해서 교육 하겠습니다!"
